name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phocaeicola vulgatus	821	S	3202100	1411412	4613512	0.37235
Phocaeicola dorei	357276	S	102510	49509	152019	0.01227
Phocaeicola coprophilus	387090	S	1354	253	1607	0.00013
Phocaeicola salanitronis	376805	S	932	37	969	0.00008
Bacteroides uniformis	820	S	1102550	997067	2099617	0.16946
Bacteroides caccae	47678	S	352270	48521	400791	0.03235
Bacteroides cellulosilyticus	246787	S	322215	179388	501603	0.04048
Bacteroides xylanisolvens	371601	S	309142	416215	725357	0.05854
Bacteroides thetaiotaomicron	818	S	212256	38053	250309	0.02020
Bacteroides ovatus	28116	S	77656	161803	239459	0.01933
Bacteroides fragilis	817	S	42196	91768	133964	0.01081
Bacteroides stercoris	46506	S	29231	5334	34565	0.00279
Bacteroides sp. A1C1	2528203	S	7246	40134	47380	0.00382
Bacteroides sp. DH3716P	2847299	S	5661	52190	57851	0.00467
Bacteroides sp. MSB163	3117552	S	4221	1191	5412	0.00044
Bacteroides sp. HF-162	2785531	S	3043	25041	28084	0.00227
Bacteroides sp. CACC 737	2755405	S	2348	9943	12291	0.00099
Bacteroides sp. M10	2763022	S	1837	1272	3109	0.00025
Bacteroides sp. D2	556259	S	1110	1399	2509	0.00020
Bacteroides sp. ZJ-18	2709390	S	38	237	275	0.00002
Bacteroides sp. BFG-257	2972761	S	28	1826	1854	0.00015
Bacteroides humanifaecis	2792859	S	24921	175817	200738	0.01620
Bacteroides finegoldii	338188	S	8774	4641	13415	0.00108
Bacteroides faecis	674529	S	8466	2295	10761	0.00087
Bacteroides salyersiae	291644	S	6602	583	7185	0.00058
Bacteroides nordii	291645	S	6062	347	6409	0.00052
Bacteroides faecium	2715212	S	3436	114	3550	0.00029
Bacteroides luhongzhouii	2650158	S	3019	614	3633	0.00029
Bacteroides caecimuris	1796613	S	2719	809	3528	0.00028
Bacteroides intestinalis	329854	S	2419	240	2659	0.00021
Bacteroides eggerthii	28111	S	1824	426	2250	0.00018
Bacteroides zhangwenhongii	2650157	S	1001	708	1709	0.00014
Bacteroides helcogenes	290053	S	182	2	184	0.00001
Bacteroides heparinolyticus	28113	S	135	18	153	0.00001
Bacteroides zoogleoformans	28119	S	126	20	146	0.00001
uncultured Bacteroides sp.	162156	S	111	0	111	0.00001
Bacteroides graminisolvens	477666	S	79	0	79	0.00001
Bacteroides sedimenti	2136147	S	33	0	33	0.00000
Parabacteroides merdae	46503	S	238147	49260	287407	0.02320
Parabacteroides distasonis	823	S	139509	182309	321818	0.02597
Parabacteroides sp. AD58	2951805	S	4226	297	4523	0.00037
Parabacteroides sp. CT06	2025876	S	112	2576	2688	0.00022
Parabacteroides johnsonii	387661	S	2511	240	2751	0.00022
Parabacteroides goldsteinii	328812	S	677	53	730	0.00006
Parabacteroides faecis	1217282	S	262	12	274	0.00002
Parabacteroides chongii	2685834	S	214	13	227	0.00002
Tannerella serpentiformis	712710	S	54	0	54	0.00000
Tannerella forsythia	28112	S	16	0	16	0.00000
Alistipes shahii	328814	S	64201	64219	128420	0.01036
uncultured Alistipes sp.	538949	S	27679	3319	30998	0.00250
Alistipes communis	2585118	S	24892	4702	29594	0.00239
Alistipes dispar	2585119	S	16626	2043	18669	0.00151
Alistipes finegoldii	214856	S	14248	13699	27947	0.00226
Alistipes onderdonkii	328813	S	7371	4062	11433	0.00092
Alistipes megaguti	2364787	S	6969	1204	8173	0.00066
Alistipes senegalensis	1288121	S	5522	2297	7819	0.00063
Alistipes ihumii	1470347	S	3000	163	3163	0.00026
Alistipes sp. dk3624	2662363	S	466	39	505	0.00004
Alistipes indistinctus	626932	S	350	24	374	0.00003
Odoribacter splanchnicus	28118	S	99478	7002	106480	0.00859
Butyricimonas faecihominis	1472416	S	18800	4400	23200	0.00187
Butyricimonas faecalis	2093856	S	1661	458	2119	0.00017
Butyricimonas paravirosa	1472417	S	166	52	218	0.00002
Butyricimonas virosa	544645	S	96	9	105	0.00001
Paraprevotella xylaniphila	454155	S	23837	2843	26680	0.00215
Paraprevotella clara	454154	S	400	27	427	0.00003
Segatella copri	165179	S	4454	262	4716	0.00038
Segatella hominis	2518605	S	351	50	401	0.00003
Segatella oris	28135	S	45	10	55	0.00000
Segatella bryantii	77095	S	45	76	121	0.00001
Segatella baroniae	305719	S	17	56	73	0.00001
Prevotella jejuni	1177574	S	286	733	1019	0.00008
Prevotella sp. Rep29	2691580	S	174	9	183	0.00001
Prevotella sp. E15-22	2937774	S	24	7	31	0.00000
Prevotella sp. E2-28	2913620	S	12	2	14	0.00000
Prevotella intermedia	28131	S	70	139	209	0.00002
Prevotella melaninogenica	28132	S	49	78	127	0.00001
Prevotella multiformis	282402	S	20	61	81	0.00001
Prevotella denticola	28129	S	15	29	44	0.00000
Prevotella bivia	28125	S	13	7	20	0.00000
Prevotella nigrescens	28133	S	13	33	46	0.00000
Prevotella corporis	28128	S	12	5	17	0.00000
Prevotella communis	2913614	S	12	3	15	0.00000
Prevotella dentalis	52227	S	10	5	15	0.00000
