Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash
SRR18509147;30/09/2022 10:35;28/03/2022 20:07;31986638;3198663800;0;100;1145;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509147/SRR18509147.lite.1;SRX14640226;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406293;SAMN27025734;simple;9606;Homo sapiens;GSM5976499;;;;;;;no;;;;;GEO;SRA1356613;;public;CA32FE406B40D740898C235DACD776D2;AB9B5984BF1FDFF9606770B8CC080C9F
SRR18509148;30/09/2022 10:35;28/03/2022 20:01;29483649;2948364900;0;100;1052;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509148/SRR18509148.lite.1;SRX14640227;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406294;SAMN27025735;simple;9606;Homo sapiens;GSM5976500;;;;;;;no;;;;;GEO;SRA1356613;;public;3229D736451587A4A92D0C4F4620C487;A1355EB88471BCA8A7402DF41D87F2C3
SRR18509149;30/09/2022 10:35;28/03/2022 20:01;37898035;3789803500;0;100;1343;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509149/SRR18509149.lite.1;SRX14640228;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406295;SAMN27025736;simple;9606;Homo sapiens;GSM5976501;;;;;;;no;;;;;GEO;SRA1356613;;public;003848A0773439BF1EF51EB7094DEB77;BC8F88245B76D0F4FC3B764B98745E6B
SRR18509150;30/09/2022 10:35;28/03/2022 20:19;48624975;4862497500;0;100;1611;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509150/SRR18509150.lite.1;SRX14640229;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406297;SAMN27025737;simple;9606;Homo sapiens;GSM5976502;;;;;;;no;;;;;GEO;SRA1356613;;public;A79C21B0EB4D1400874745B422919FD1;7D2049205586ACE3F9052F404B5E9F3D
SRR18509151;30/09/2022 10:35;28/03/2022 20:09;43698875;4369887500;0;100;1451;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509151/SRR18509151.lite.1;SRX14640230;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406296;SAMN27025738;simple;9606;Homo sapiens;GSM5976503;;;;;;;no;;;;;GEO;SRA1356613;;public;66A027DAFC8ACEF36DEF7D58D8A7063F;638411D300B345EE7143FD004136EE35
SRR18509152;30/09/2022 10:35;28/03/2022 20:08;39341812;3934181200;0;100;1301;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509152/SRR18509152.lite.1;SRX14640231;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406298;SAMN27025739;simple;9606;Homo sapiens;GSM5976504;;;;;;;no;;;;;GEO;SRA1356613;;public;4CB57D9DCF61C636B4E0B29265418CE8;1E1B1D0888727EDE359433F3A54BFFC4
SRR18509153;30/09/2022 10:35;28/03/2022 20:10;50335389;5033538900;0;100;1669;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509153/SRR18509153.lite.1;SRX14640232;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406299;SAMN27025740;simple;9606;Homo sapiens;GSM5976505;;;;;;;no;;;;;GEO;SRA1356613;;public;A86E344CB2F25357EB0B9E885A4531D1;6867048658A6E2DB0845EA9C638090F4
SRR18509154;30/09/2022 10:35;28/03/2022 20:05;48777568;4877756800;0;100;1627;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509154/SRR18509154.lite.1;SRX14640233;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406300;SAMN27025741;simple;9606;Homo sapiens;GSM5976506;;;;;;;no;;;;;GEO;SRA1356613;;public;BFCEB1FAA0F14D67ED323B94D6A7C7C5;619F110AA8460DEB0E0A53E78247B77A
SRR18509155;30/09/2022 10:35;28/03/2022 20:09;47579047;4757904700;0;100;1610;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509155/SRR18509155.lite.1;SRX14640234;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406301;SAMN27025742;simple;9606;Homo sapiens;GSM5976507;;;;;;;no;;;;;GEO;SRA1356613;;public;FFEC2D03F529A5C77093E092B10F9CC3;D1B28B084FE346102E5B49180CBBAA15
SRR18509156;30/09/2022 10:35;28/03/2022 20:07;44136861;4413686100;0;100;1492;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509156/SRR18509156.lite.1;SRX14640235;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406302;SAMN27025743;simple;9606;Homo sapiens;GSM5976508;;;;;;;no;;;;;GEO;SRA1356613;;public;A3A253C7B3F453DD446FA52E1793156E;718EF7C68ECF1215BC97C48A64C8BB5C
