Accession;Title;Sample Type;Taxonomy;Channels;Platform;Series;Supplementary Types;Supplementary Links;SRA Accession;Contact;Release Date
GSM5976499;MSCCR_reGRID_1_Biopsy_1, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640226;SRX14640226;Carmen argmann;Sep 16, 2022
GSM5976500;MSCCR_reGRID_1_Biopsy_2, UC participants,LeftColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640227;SRX14640227;Carmen argmann;Sep 16, 2022
GSM5976501;MSCCR_reGRID_1_Biopsy_3, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640228;SRX14640228;Carmen argmann;Sep 16, 2022
GSM5976502;MSCCR_reGRID_10_Biopsy_18, CD participants,RightColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640229;SRX14640229;Carmen argmann;Sep 16, 2022
GSM5976503;MSCCR_reGRID_10_Biopsy_19, CD participants,LeftColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640230;SRX14640230;Carmen argmann;Sep 16, 2022
GSM5976504;MSCCR_reGRID_10_Biopsy_20, CD participants,Transverse NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640231;SRX14640231;Carmen argmann;Sep 16, 2022
GSM5976505;MSCCR_reGRID_100_Biopsy_201, CD participants,Sigmoid NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640232;SRX14640232;Carmen argmann;Sep 16, 2022
GSM5976506;MSCCR_reGRID_100_Biopsy_202, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640233;SRX14640233;Carmen argmann;Sep 16, 2022
GSM5976507;MSCCR_reGRID_1000_Biopsy_1732, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640234;SRX14640234;Carmen argmann;Sep 16, 2022
GSM5976508;MSCCR_reGRID_1000_Biopsy_1733, UC participants,Sigmoid I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640235;SRX14640235;Carmen argmann;Sep 16, 2022
GSM5976509;MSCCR_reGRID_1001_Biopsy_1734, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640236;SRX14640236;Carmen argmann;Sep 16, 2022
GSM5976510;MSCCR_reGRID_1001_Biopsy_1735, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640237;SRX14640237;Carmen argmann;Sep 16, 2022
GSM5976511;MSCCR_reGRID_1002_Biopsy_1736, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640238;SRX14640238;Carmen argmann;Sep 16, 2022
GSM5976512;MSCCR_reGRID_1002_Biopsy_1737, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640239;SRX14640239;Carmen argmann;Sep 16, 2022
GSM5976513;MSCCR_reGRID_1004_Biopsy_1738, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640240;SRX14640240;Carmen argmann;Sep 16, 2022
GSM5976514;MSCCR_reGRID_1004_Biopsy_1739, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14640241;SRX14640241;Carmen argmann;Sep 16, 2022
